Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
End-user Economics of PV-coupled Residential Battery Systems,Pieter van Eig,2021.0,Madeleine Gibescu,,"This thesis investigates the end-user economics and policy dependencies of photovoltaic-coupled battery electric storage systems (PV-BESS) in the Netherlands. The aim is to understand the market potential of lithium-ion home storage until 2030. A model optimizing for self-consumption rates is deployed, revealing that current investments in residential batteries yield longer payback periods than PV-only systems. However, with a proposed investment policy, PV-BESS could become more profitable post-2023. The research indicates significant revenue potential for the Dutch battery storage market by 2030, alongside recommendations for future research.",What are the end-user economics and policy dependencies of PV-coupled battery electric storage systems in the Netherlands?,7 - Affordable and Clean Energy,"The research focuses on enhancing the economic viability of renewable energy storage systems, contributing to the accessibility and sustainability of clean energy solutions.",Netherlands,National,Energy & Climate,"PV-coupled battery systems, residential storage, lithium-ion batteries, self-consumption, payback period",Mixed Methods Research,"PV profile simulation, optimization model, economic analysis, payback period calculations",,Libra Energy B.V.,,Netherlands,52.243498,5.634323,Country,Abstract too short,eig_2021.pdf,eig_2021.png,Matched,Netherlands,52.243498,5.634323
A Comparative Study on Hydrogen Production and Storage Using an Offshore Wind Farm in The Netherlands,"Walavalkar, A.C. (Aniket)",2021.0,"Madeleine Gibescu, Matteo Gazzani",Matteo Gazzani,"Producing energy with conventional resources like coal, oil, and gas has come under scrutiny due to greenhouse gas emissions. This research focuses on the combination of an offshore wind farm, electrolyser, and hydrogen storage to determine the lowest levelized cost of hydrogen (LCOH) and storage (LCOS). The Polymer Electrolyte Membrane (PEM) process is analyzed for its efficiency in balancing renewable energy sources. Three scenarios for hydrogen production and storage are evaluated: On-Site Centralized Electrolyser with onshore storage, Off-site Electrolyser with onshore storage, and On-Site Distributed Electrolyser with onshore storage. A sensitivity analysis is conducted to assess the impact of various parameters on the chosen scenario.",What is the most cost-effective and practical solution for hydrogen production and storage using an offshore wind farm?,7 - Affordable and Clean Energy,"This research supports the transition to renewable energy sources, specifically through the use of offshore wind farms for hydrogen production, contributing to sustainable energy solutions.",Netherlands,National,Energy & Climate,"Hydrogen, Offshore Wind Farm, Electrolysis, Energy Storage, LCOH, LCOS","Qualitative Empirical Research, Quantitative Empirical Research","Cost Comparison, Sensitivity analysis",,,,Netherlands,52.243498,5.634323,Country,,ac_2021.pdf,ac_2021.png,Matched,Netherlands,52.243498,5.634323
Power-to-heat and thermal energy storage in district heating networks: A techno-economic assessment from a power grid perspective,Sven Korpershoek,2021.0,"Wen Liu, Martijn Bongaerts, Maarten Afman",Svenja Waldmann,"The Netherlands has set ambitious climate mitigation targets that call for decarbonisation of the energy system. The resulting increase in decentralised solar power, together with the electrification of cars and heat supply, leads to high power loads on the distribution grid. A solution to capacity shortages could be the combined application of power-to-heat (P2H) and thermal energy storage (TES). This research aims to assess the desirability of P2H combined with thermal energy storage in district heating networks, from a power grid perspective. An energy system model is built to perform a techno-economic assessment for the neighbourhood of Eva-Lanxmeer in Culemborg. The combination of an electric boiler and PTES system with storage strategy 3 is found to be most desirable.",How can the combination of power-to-heat and thermal energy storage in district heating networks be assessed from a power grid perspective?,7 - Affordable and Clean Energy,"This research addresses the integration of renewable energy sources and the optimization of energy systems, contributing to the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.","Culemborg, Netherlands",Local,Energy & Climate,"Power-to-heat, Thermal energy storage, District heating, Techno-economic assessment, Energy system model",Mixed Methods Research,"Energy system modeling, Techno-economic analysis",,Alliander,,Culemborg,51.95735,5.225304,City,,korpershoek_2021.pdf,korpershoek_2021.png,Matched,Netherlands,51.95735,5.225304
Techno-economic analysis of seven wave energy converters and their contribution to system adequacy,Tim van den Akker MSc.,2021.0,"Malin Göteman, Madeleine Gibescu",,"This thesis investigates the techno-economic aspects of seven wave energy converters and their potential contribution to system adequacy in Sweden and the UK. The aim is to analyze the performance and economic viability of these converters through a detailed case study. A mixed methods approach is employed, combining quantitative data analysis with qualitative insights. The findings reveal significant variations in the levelized cost of electricity and payback periods among the converters, highlighting the importance of site-specific conditions and economic factors in the deployment of wave energy technologies.",What is the techno-economic performance of seven wave energy converters and how do they contribute to system adequacy in Sweden and the UK?,7 - Affordable and Clean Energy,"This research aligns with SDG 7 as it focuses on the development and analysis of renewable energy technologies, specifically wave energy, which contributes to the transition towards sustainable energy systems.","Sweden, United Kingdom",Regional,Energy & Climate,"wave energy, techno-economic analysis, system adequacy, levelized cost of electricity, payback period",Mixed Methods Research,"Case study, Data analysis, Monte Carlo analysis",,,,Sweden,59.674971,14.520858,Country,Abstract too short,akker_2021.pdf,akker_2021.png,Matched,Sweden; United Kingdom,59.674971|54.702354,14.520858|-3.276575
Social Economic Welfare effects of Large-Scale Energy Storage and relation with Variable Renewable Energy Sources Shares,Emilia Rocha Ojeda,2023.0,"Elena Fumagalli, Lina Silva-Rodriguez",,"The widespread integration of Variable Renewable Energy Sources (VRES) into the power system represents a challenge due to their variability and stochasticity. Large-Scale Energy Storage Systems (ESS) are emerging as key technologies to support the VRES integration and the reliability, flexibility, and sustainability of power systems. This study aimed to assess how large-scale ESS affect the social economic welfare (SEW) in the present and future wholesale electricity markets by studying its effect under different VRES penetration levels. The research found that large-scale ESS can significantly impact all market participants by leveling price differences and improving SEW.",How do large-scale Energy Storage Systems affect the social economic welfare in the present and future wholesale electricity markets under different Variable Renewable Energy Sources penetration levels?,7 - Affordable and Clean Energy,"This study addresses the integration of renewable energy sources and the role of energy storage in enhancing the sustainability and reliability of power systems, which aligns with the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.",Belgium,National,Energy & Climate,"Large-Scale Energy Storage, Variable Renewable Energy Sources, Social Economic Welfare, Electricity Markets",Mixed Methods Research,"Market Clearing Optimization Model, Bidding Strategy Simulation",,Utrecht University,,Belgium,50.640281,4.666715,Country,Abstract too short,ojeda_2023.pdf,ojeda_2023.png,Matched,Belgium,50.640281,4.666715
Integrating ATES and surface water thermal energy in the optimization approach for 5GDHC,Anko Smit,2021.0,Jesús Rosales Carreón,Wen Liu,"This research addresses the optimization of fifth generation district heating and cooling (5GDHC) systems that incorporate aquifer thermal energy storage (ATES) and surface water thermal energy (SWTE). The aim is to develop a mixed-integer linear programming (MILP) model to optimize the design and operation of these systems, minimizing total annualized costs. The model was applied to a real-world case, revealing that the integration of ATES and SWTE can lead to significant cost reductions, lower primary energy requirements, and decreased CO2 emissions compared to traditional systems. The findings highlight the potential of 5GDHC systems in contributing to sustainable urban energy solutions.",How to develop an optimization model for designing and operating 5GDHC systems which include ATES and SWTE in their configuration?,7 - Affordable and Clean Energy,"The research focuses on optimizing energy systems to enhance efficiency and reduce emissions, contributing to the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.",Netherlands,Local,Energy & Climate,"5GDHC, ATES, SWTE, optimization, energy systems",Mixed Methods Research,Mixed-integer linear programming,,,,Netherlands,52.243498,5.634323,Country,,smit_2021.pdf,smit_2021.png,Matched,Netherlands,52.243498,5.634323
An exploratory study on the integration of a renewable-powered electrolyser in a local energy system,Thijs van der Woude,2021.0,Madeleine Gibescu,Sanne Akerboom,The current energy transition towards a more sustainable future opens opportunities for new types of energy systems in the Netherlands. A newly proposed system utilises electrolysers to convert locally generated renewable electricity into hydrogen for local industries. This multi-energy carrier (MEC) system serves as a cross-sectional solution to increase the amount of renewable electricity sources and reduce the fossil fuel use of local industries. An explorative study is conducted to determine how a MEC system could be incorporated in the regulatory framework of the Netherlands and what would be the best design options. A literature review and interviews are conducted to determine how this system can exist within the regulatory framework of the electricity system in the Netherlands.,How can a multi-energy carrier system be incorporated into the regulatory framework of the Netherlands and what are the best design options?,7 - Affordable and Clean Energy,"The study focuses on integrating renewable energy sources and hydrogen production, which directly contributes to the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.",Netherlands,Local,Energy & Climate,"Multi-energy carrier system, Electrolyser, Renewable Energy, Hydrogen, Energy transition","Literature-Based Research, Qualitative Empirical Research","Literature review, Interviews, Techno-economic analysis, Model construction",,Coinversable,,Netherlands,52.243498,5.634323,Country,,woude_2021.pdf,woude_2021.png,Matched,Netherlands,52.243498,5.634323
Displacing process-related natural gas use in the service and industrial sector,P.B. Grijpma,,Robert Harmsen,,"This thesis investigates the displacement of process-related natural gas use in the service and industrial sectors by renewable energy sources. The aim is to identify significant end-uses of natural gas and explore how these can be replaced. A stock-level benchmarking approach was employed to assess energy intensity across various subsectors, revealing that swimming pools and commercial laundries are major users. Interviews with companies highlighted industrial process heat as a key contributor. The study also reviews renewable alternatives such as solar applications, heat pumps, and biomass heaters.",How can process-related natural gas consumption in commercial and industrial applications be reduced and displaced by renewables?,7 - Affordable and Clean Energy,"This SDG applies as the research focuses on displacing natural gas with renewable energy sources, contributing to the transition towards sustainable energy in the service and industrial sectors.",Netherlands,National,Energy & Climate,,"Literature-Based Research, Qualitative Empirical Research","Interviews, Literature review, Stock-level benchmarking",,,,Utrecht,52.243498,5.634323,City,Abstract too short,grijpma_unknown.pdf,grijpma_unknown.png,Matched,Netherlands,52.243498,5.634323
"Naturally, Gas Free: Using Socio-Demographic Data to Optimize Civic-Engagement in the Dutch Heat Transition",Marenne Massop,2023.0,Robert Harmsen,Jesús Rosales Carreón,"The Dutch National Climate Agreement requires a 49% emission reduction in 2030 compared to 1990 levels. To achieve this target, the Dutch built sector must achieve a 3.4Mt emission reduction by making 1.5 million buildings natural gas-free and well-insulated. This research aimed to determine whether socio-demographic characteristics of occupants can help predict an effective role division between the municipality and its residents in the heat transition. Logistic regressions were performed on data from the LISS panel. The findings indicate that certain socio-demographic characteristics are significantly associated with residents’ perceptions and capabilities regarding the heat transition, although the predictive model was found to have insufficient power.",How can socio-demographic characteristics of residents predict an effective role division between the municipality and its residents in the heat transition?,11 - Sustainable Cities and Communities,"This research addresses the heat transition in the built environment, which is crucial for creating sustainable urban communities.",Netherlands,National,Energy & Climate,"socio-demographic characteristics, heat transition, civic engagement, logistic regression, municipalities",Quantitative Empirical Research,Logistic regressions,,Dialogic,,Utrecht,52.243498,5.634323,City,,massop_2023.pdf,massop_2023.png,Matched,Netherlands,52.243498,5.634323
Optimization of Operation and Design of a Multi-Energy System for the Production of Low-Carbon Methanol,Daan Bosma,2021.0,Matteo Gazzani,Martin Junginger,"Methanol is a key feedstock in the chemical industry and a potential synthetic fuel replacement for transport. This research integrates various sustainable methanol production pathways within a multi-energy system, optimizing its design and operation to identify the most cost-effective and low-emission method for the industrial cluster of Rotterdam. The study assesses the impact of including a CO storage facility, the type of biomass, and the steam biomass ratio on the system's optimal design. Findings indicate that incorporating CO storage significantly enhances system performance, allowing for negative emissions with minimal cost increases, with biomass gasification being the preferred production method.",Which sustainable methanol production pathway is preferred for the industrial cluster of Rotterdam in terms of costs and emissions?,13 - Climate Action,"The research focuses on reducing greenhouse gas emissions through the optimization of low-carbon methanol production, directly contributing to climate action efforts.",Rotterdam,Local,Energy & Climate,,Mixed Methods Research,"Case study, Multi-objective optimization, Data Collection",,,,Rotterdam,51.924442,4.47775,City,Abstract too short,bosma_2021.pdf,bosma_2021.png,Matched,Netherlands,51.924442,4.47775
