Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
Hybrid organising in the sharing economy: A case study of Couchsurfing.com,Feriel Bouricha,2021.0,Taneli Vaskelainen,Koen Frenken,"This thesis investigates the rise of hybrid organisations, particularly in the context of the sharing economy (SE). It aims to understand how identity conflicts arising from hybridisation affect the sustainability of Couchsurfing, a free accommodation sharing platform. Through qualitative analysis of archival data and interviews with former volunteers, the study identifies three main identities at Couchsurfing: Community, Missionary, and Corporate. These identities conflict over authority, growth, and monetisation, leading to significant impacts on user engagement and platform success. The findings contribute to the literature on hybrid organisations and provide insights for managers of mission-oriented SE platforms.",How do hybrid identities affect SE organisations throughout the hybridisation process?,11 - Sustainable Cities and Communities,"The research focuses on the sharing economy and its impact on community engagement and sustainable practices, aligning with the goal of making cities inclusive, safe, resilient, and sustainable.",Global,Global/International,Social Justice & Equity,"Couchsurfing, hybrid organisations, sharing economy, identity conflicts, qualitative analysis",Qualitative Empirical Research,"Archival data analysis, Interviews","Hybrid Organising, Organisational Identity",,Couchsurfing,,,,Broad,Abstract too short,bouricha_2021.pdf,bouricha_2021.png,Matched,Global,,
The real reasons of sleeping patents owned by universities,Nina Czeczelits,,Dr. Giovanna Capponi,Prof. Dr. Koen Frenken,"Since the initiation of the Bayh-Dole Act in the 1980s in the United States, patenting at universities gained ample attention. The aim of this thesis was to discover reasons why some universities’ patents remain unused while others are being commercialized. A quantitative method approach was chosen, whereby an online survey was sent to 1000 inventors. The results showed that some patents owned by universities remain unused due to their radical nature and the perceived economic value by inventors. This study is particularly interesting for universities to increase the commercialization rate of their patent portfolio.",What factors explain that university patents remain unused?,"9 - Industry, Innovation and Infrastructure","This SDG applies as the thesis investigates the commercialization of university patents, which is directly related to innovation and infrastructure in the academic sector.",Netherlands,National,Governance & Policy,,Quantitative Empirical Research,"Online survey, Regression analysis",Institutional Theory,,"Utrecht University, University Medical Center Utrecht, Leiden University, University Medical Center Leiden, Groningen University, University Medical Center Groningen",Netherlands,52.243498,5.634323,Country,Abstract too short,czeczelits_unknown.pdf,czeczelits_unknown.png,Matched,Netherlands,52.243498,5.634323
Barriers and Potential Solutions Concerning Hospitals' Institutional Readiness for the Innovation System of 3D Bioprinting Organs in California and The Netherlands,,,,,"With the increasing shortage of human organs globally, 3D bioprinted organs appear as a suitable solution. This research focused on two illustrative cases: University of California San Francisco Medical Centre and University Medical Center Utrecht. The aim was to explore the barriers and potential solutions concerning hospitals' Institutional Readiness for the innovation system of 3D bioprinting organs. An event analysis was performed using desk research and semi-structured interviews with experts. Findings indicated common barriers such as the need for a regulatory framework and financial support, as well as specific barriers for both Californian and Dutch contexts.",What are the barriers and potential solutions concerning hospitals' Institutional Readiness for the innovation system of 3D bioprinting organs in California and The Netherlands based on the emerging 3D bioprinting organ innovation system developments throughout 2009 – 2020?,3 - Good Health and Well-Being,"This SDG applies as the research addresses the innovation in organ transplantation, which directly impacts health outcomes and the availability of organs for patients in need.","California, Netherlands",Global/International,Health & Medicine,"3D bioprinting, organ transplantation, Institutional Readiness, Technological Innovation Systems",Qualitative Empirical Research,"Desk research, Semi-structured interviews","Technological Innovation Systems, Institutional Readiness",,"University of California San Francisco Medical Centre, University Medical Center Utrecht",Utrecht,52.0907,5.1216,City,"Missing Supervisor, Abstract too short",nan_unknown.pdf,nan_unknown.png,Matched (content),Netherlands,52.0907,5.1216
The effect of proximity on knowledge network dynamics during economic recession: A study of the Great Recession,Jasper Ott,,I Wanzenböck,K Frenken,"The impact of recessions on firm performance is unequal across firms, but questions on what causes these differences remain unanswered. This study addresses this knowledge gap by examining which proximity dimensions drive the formation of innovation network ties in the European biotechnology industry during the Great Recession. Using the stochastic actor-oriented model RSiena, the study analyzes the effects of cognitive, organizational, geographical, and social proximity on tie formation in Germany, Denmark, and the Netherlands. Results indicate that while firms preferred proximate partners, the effect of proximity on tie formation decreased during the recession in Germany, contrasting with the Netherlands where it increased. This suggests that specific innovation schemes can influence firm behavior during economic crises.",Which proximity dimensions drive the formation of innovation network ties in the European biotechnology industry? And did the effects of these driving forces change during the Great Recession?,"9 - Industry, Innovation and Infrastructure","This study focuses on innovation networks and their dynamics during economic recessions, which directly relates to fostering innovation and building resilient infrastructure.","Germany, Denmark, Netherlands",Regional,Circular Economy & Production,,Quantitative Empirical Research,Stochastic actor-oriented model RSiena,,,,Germany,51.163818,10.447831,Country,,ott_unknown.pdf,ott_unknown.png,Matched,Germany; Denmark; Netherlands,51.163818|55.670249|52.243498,10.447831|10.333328|5.634323
HOW POLICY MAKERS CAN OVERCOME COMPETING VALUES IN THE PURSUIT OF SOLUTIONS TO SOCIETAL PROBLEMS - LIGHT ELECTRIC VEHICLES IN THE DUTCH MOBILITY SECTOR FROM AN INSTITUTIONAL LOGIS PERSPECTIVE,Wouter Slob,2021.0,Joeri Wesseling,Toon Meelen,"The Dutch mobility system is in transition. Due to the urgent need for low-carbon alternative transportation methods, various new vehicle types are being developed, to get people ‘out of their car’, often stimulated by policy makers. These new vehicle types are often in the form of light and electric powered vehicles, shortly LEV’s. The current regulation system around the admission of these new vehicle types is delegated by the ministry of infrastructure and water management to independent agencies. This research uses the concepts of institutional logics to capture the various values strived for by actors involved in the development and implementation of LEV’s in the Dutch mobility sector. By means of qualitative research, interviews are conducted with these actors, which resulted in the distinction of three institutional logic types: the automobile logic, the society logic and the regulation logic.",How can policy makers overcome competing values in the pursuit of solutions to societal problems in the context of light electric vehicles in the Dutch mobility sector?,11 - Sustainable Cities and Communities,"This SDG applies as the research focuses on the transition towards low-carbon transportation methods, which is essential for creating sustainable urban environments.",Netherlands,National,Urban & Regional Development,"light electric vehicles, institutional logics, Dutch mobility sector, policy makers, societal problems",Qualitative Empirical Research,Interviews,Institutional Logics,Ministry of Infrastructure and Water Management,,Netherlands,52.243498,5.634323,Country,,slob_2021.pdf,slob_2021.png,Matched,Netherlands,52.243498,5.634323
Reducing lifestyle and living environment related burden of disease in the Netherlands: a Mission-Oriented Innovation Systems Approach,Gianna Marsman,2021.0,Joeri Wesseling,,"This thesis presents the second case study using Mission-oriented Innovation Systems (MIS) theory. A mission in the health domain was chosen to add to the knowledge about dimensions that can influence mission dynamics, with a specific focus on differences in dynamics between social and technological solutions. The studied mission is called Mission I, and a part of the mission programme of the Dutch government: 'In 2040, the burden of disease as a result of an unhealthy lifestyle and unhealthy living environment is decreased by 30%.' By following the five analytical steps of the MIS framework, the research question was answered: to what extent are the systemic barriers present in the Mission-oriented Innovation System around Health Mission I adequately targeted by governance actions? A qualitative single case study approach was chosen, including 25 interviews with expert stakeholders and a desktop study of policy documents. Three main barriers were identified that influence the system functions.",To what extent are the systemic barriers present in the Mission-oriented Innovation System around Health Mission I adequately targeted by governance actions?,3 - Good Health and Well-Being,"This SDG applies as the research focuses on reducing the burden of disease related to unhealthy lifestyles and environments, aiming for improved health outcomes.",Netherlands,National,Governance & Policy,,Qualitative Empirical Research,"Qualitative single case study, 25 interviews, Desk research",Mission-oriented Innovation Systems,,,Netherlands,52.243498,5.634323,Country,,marsman_2021.pdf,marsman_2021.png,Matched,Netherlands,52.243498,5.634323
Road Safety Strategic Plan: A mission-oriented innovation systems approach in the Netherlands,Luc Haarbrink,2023.0,Joeri Wesseling,,"This research addresses the grand societal problems of climate change and poverty through a mission-oriented innovation systems approach. The aim is to analyze the Road Safety Strategic Plan (RSSP) 2020 and its successor RSSP2030. A case study design is employed, utilizing event history analysis, literature analysis, and interviews with 20 experts. The main findings reveal a significant lack of mobilization of finances and actors for RSSP2020, which hindered the effectiveness of systemic instruments in overcoming barriers. Although advancements have been made for RSSP2030, challenges remain in achieving its goals within the constrained timeframe.",How have systemic instruments affected the barriers to the achievement of the RSSP2020 mission and what did the mission arena for RSSP2030 learn from this for overcoming the MIS barriers of today?,11 - Sustainable Cities and Communities,"The research focuses on improving road safety, which is essential for creating sustainable urban environments and enhancing the quality of life in cities.",Netherlands,National,Governance & Policy,,Mixed Methods Research,"Case study, Event history analysis, Literature review, Expert interviews",Mission-oriented Innovation Systems,,,Netherlands,52.243498,5.634323,Country,Abstract too short,haarbrink_2023.pdf,haarbrink_2023.png,Matched,Netherlands,52.243498,5.634323
Could pyrolysis be the solution to plastic pollution? Insights into the barriers and enablers of the technological innovation system surrounding pyrolysis to create food-grade packaging within the European Union.,Vera van Velsen,2021.0,Gaston Heimriks,Dr. X.S. Yap,"Plastics pose a significant threat to ecosystems and human health, with projections indicating that 99 million tons of plastic waste could enter the environment by 2030 without improved management. The European Union is exploring a circular economy approach, utilizing pyrolysis to recycle plastic waste into food-grade packaging. This thesis investigates the technological innovation system surrounding pyrolysis, identifying barriers and enablers through event analysis and key actor interviews. Findings reveal six barriers to diffusion, including regulatory acceptance and consumer acceptance, while highlighting the potential for enablers to foster growth in this innovative network.",What barriers and enablers set the start and define the growth of the technological innovation system surrounding the pyrolysis of polyolefins to create food-grade packaging within the EU?,12 - Responsible Consumption and Production,This research addresses the unsustainable linear production model of plastics and explores innovative recycling methods to promote responsible consumption and production.,European Union,Regional,Circular Economy & Production,"pyrolysis, plastic pollution, Technological Innovation Systems, food-grade packaging, Circular Economy",Qualitative Empirical Research,"Event analysis, Expert interviews",Technological Innovation Systems,Unilever,,European Union,42.6795963,23.3214829,Broad,Abstract too short,velsen_2021.pdf,velsen_2021.png,Matched,Europe,,
Exploring the regional patterns of complex knowledge production: the case of renewable energy technologies in the European Union,Orlando. M. Vazquez Villegas,2021.0,Gaston Heimeriks,Koen Frenken,"European regions are currently implementing smart specialisation strategies through the capitalisation of their knowledge assets to drive innovation in promising sectors, fields or technologies. However, there is a lack of understanding behind the knowledge development process of smart specialisation strategies targeting renewable energy technologies. This research aims to fill that gap by exploring the patterns of complex knowledge production in six renewable energy technologies. By making use of quantitative methods and building upon the theoretical foundations of Evolutionary Economic Geography and the Smart Specialisation literature, this research attempts to test the relationship between the ability of a region to create complex knowledge and four mechanisms of path and place dependency linked to the knowledge creation process. A set of quantitative analysis revealed that scientific relatedness is the most important driver for the creation of complex knowledge.",How do regional patterns of complex knowledge production influence the development of renewable energy technologies in the European Union?,7 - Affordable and Clean Energy,"This SDG applies as the research focuses on renewable energy technologies and their development, which is essential for achieving affordable and clean energy.",European Union,Regional,Energy & Climate,"renewable energy technologies, smart specialisation, complex knowledge production, European regions",Quantitative Empirical Research,Regression analysis,"Evolutionary Economic Geography, Smart Specialisation",European Commission’s RIPEET project,,European Union,42.6795963,23.3214829,Broad,,villegas_2021.pdf,villegas_2021.png,Matched,Europe,,
The interplay of the Sociotechnical imaginaries and policies of personalized healthcare in the Netherlands,Niels van Kruining,2021.0,Tineke Kleinhout-Vliek,,"This study investigates the collective expectations of personalized medicine in the Netherlands, focusing on its evolution and the interplay between policy practices and competing expectations. The research aims to enhance theoretical knowledge of Sociotechnical Imaginaries and improve policy implementation in personalized medicine. Using CAR-T cell therapy as a case study, the analysis includes interviews with key actors and a media framing analysis from 2012 to 2021. Findings reveal two dominant competing sociotechnical imaginaries: 'Pharmaceutical Inclusion' and 'Academic-driven pharma', each influencing policy and expectations in the field.",What are the current collective expectations of personalized medicine in the Netherlands and how do they evolve over time in relation to policy practices?,3 - Good Health and Well-being,"The study addresses the advancement of personalized medicine, which aims to improve health outcomes and healthcare practices.",Netherlands,National,Health & Medicine,"Personalized medicine, Sociotechnical Imaginaries, CAR-T cell therapy, policy implementation",Qualitative Empirical Research,"Interviews, Media analysis",Sociotechnical Imaginaries,,,Netherlands,52.243498,5.634323,Country,Abstract too short,kruining_2021.pdf,kruining_2021.png,Matched,Netherlands,52.243498,5.634323
