Title,Author(s),Year,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
Learning in Transformative Research Niches: The Case of Non-Animal Methods for Thyroid Disrupting Chemicals Risk Assessment,Paula Rioja Falcone,2023.0,Dr. Jarno Hoekman,Dr. Gabriela Matias de Pinho,"This study explores the role of collective learning conditions in enabling the formation and successful development of transformative research niches (TRNs), focusing on non-animal new approach methodologies (NAMs) for thyroid disrupting chemicals (TDCs). It investigates how collaboration network features influence laboratory success in developing NAMs. Using social network analysis and statistical correlation tests on original datasets, the findings reveal that laboratories in brokerage positions and those collaborating with diverse institutional actors are more successful in NAM development. However, advancing NAMs beyond R&D is linked to validation network participation and proximity to regulatory bodies. The study contributes to socio-technical transitions literature by identifying key learning conditions for innovation.",How do collective learning conditions influence the development and advancement of non-animal methods for thyroid disrupting chemicals risk assessment?,12 - Responsible Consumption and Production,"The study addresses the need for sustainable alternatives to traditional animal testing, contributing to responsible consumption and production practices in chemical risk assessment.",Global,Global/International,Ecology & Biodiversity,"non-animal methods, thyroid disrupting chemicals, transformative research niches, chemical risk assessment, collaboration networks",Mixed Methods Research,"Social network analysis, Correlation analysis","Transformative Research Niches, Socio-technical transitions",,,,,,Broad,falcone_2023.pdf,falcone_2023.png,Matched,Global,,
Multisector collaboration: The case of desalination and green hydrogen production in Chile,José Tomás Ovalle,2025.0,Adriaan van der Loos,Javanshir Fouladvand,"Water scarcity and energy transition are two critical challenges today. To address them, this research seeks to explore potential synergies of collaboration between the desalination and green hydrogen production sectors, using northern Chile's Coquimbo Region as a case study, where both challenges coexist. The objective of the study is to identify whether interactions exist and what the drivers and barriers to interaction are in order to achieve mutually beneficial collaboration. Given the focus on the importance of interactions between sectors, this research is based on the Multi-sector Dynamics (MSD) framework using a qualitative methodology consisting of semi-structured interviews with stakeholders from both sectors, local residents and regulatory experts. The findings show that there are interactions between the two sectors, mainly in the form of resource flows; however, this collaboration is still in its early stages.",What are the drivers and barriers to interaction between the desalination and green hydrogen production sectors in northern Chile's Coquimbo Region?,6 - Clean Water and Sanitation,"This SDG applies as the research addresses water scarcity through the exploration of desalination, which is directly related to ensuring availability and sustainable management of water.","Coquimbo Region, Chile",Local,Energy & Climate,,Qualitative Empirical Research,Semi-structured interviews,Multi-Level Perspective,,,Coquimbo Region,-30.754665,-70.900554,Region,ovalle_2025.pdf,ovalle_2025.png,Matched,Chile,-30.754665,-70.900554
Bridging the Gap: Assessing the Alignment of PFAS Research Supply and Social Demand in the United States,Diansheng Liu,2024.0,Jarno Hoekman,Bernhard Truffer,"The widespread use of per- and polyfluoroalkyl substances (PFAS) has exceeded planetary boundaries, posing urgent environmental and health risks. However, the alignment between science supply and social demands to address these challenges remains unclear. This study examines the U.S. PFAS research landscape to evaluate how environmental contamination and industrial activity impact the science supply, and what role policy intervention plays in the social demand and science supply relationship. Using bibliometric methods and Latent Dirichlet Allocation (LDA) topic modeling, 33,305 PFAS-related publications (from year 2014 to 2024) from Scopus were analyzed, categorizing research into 29 topics, and finding three major research categories: PFAS application, human health and environment research. Results reveal that the social demand raised from PFAS industrial releases is aligned with the science supply, while water quality demand shows no alignment with the science supply.",How well do the social demand and the supply of PFAS science align in the U.S.?,3 - Good Health and Well-Being,"The study addresses the health risks associated with PFAS exposure, which is critical for ensuring public health and well-being.",United States,National,Social Justice & Equity,"PFAS, environmental contamination, industrial activity, science supply, social demand, policy intervention",Mixed Methods Research,"Bibliometric analysis, Latent Dirichlet Allocation (LDA) topic modeling, Regression analysis, Correlation analysis","Supply, Demand Dynamics, Policy Analysis",,,United States,39.78373,-100.445882,Country,liu_2025.pdf,,Matched,United States,39.78373,-100.445882
Exploring Cooperative Car-Sharing Initiatives in Rural Friesland: Addressing Mobility Challenges and Enhancing Social Justice Outcomes,Melanie Broos,2023.0,Maarten Hajer,Toon Meelen,"This thesis investigates the potential of cooperative car-sharing initiatives, developed by local energy cooperatives, to address rural mobility challenges, and promote socially justice. The study examines how such initiatives operate at the nexus of housing-energy-mobility, with a particular focus on the case study of Buurtbestuurders in the province of Friesland. Against conditions of increasing car dependency and declining public transport, local energy cooperatives have begun offering shared electric vehicles as part of a broader grassroots sustainability effort. The study examines whether such initiatives can serve as inclusive and effective mobility solutions in structurally disadvantaged rural contexts. Findings reveal that although Buurtbestuurders embodies features of grassroots innovation, its transformative capacity is constrained by governance fragmentation, uneven local embedding, and limited inclusivity.",How can cooperative car-sharing initiatives developed by local energy cooperatives address rural mobility challenges and promote social justice in Friesland?,11 - Sustainable Cities and Communities,"The study focuses on enhancing mobility solutions in rural areas, which aligns with the goal of making cities and human settlements inclusive, safe, resilient, and sustainable.","Friesland, Netherlands",Local,Social Justice & Equity,"cooperative car-sharing, rural mobility, social justice, energy cooperatives, grassroots sustainability",Qualitative Empirical Research,"Semi-structured interviews, Survey","Justice Theory, Self-Determination Theory, Multi-Level Perspective, Social Practice Theory",,Buurtbestuurders,Friesland,53.092369,5.777043,Region,broos_2023.pdf,broos_2023.png,Matched,Netherlands,53.092369,5.777043
From food forest to plate: the influence of cultural context and environmental concern on consumer acceptance,Jeanique Turpijn,2023.0,Dr. Gabriela Matias de Pinho,Dr. Niko Wojtynia,"Food forests are perennial, multi-layered agroforestry systems that offer environmental and nutritional benefits. This research explores how cultural context and environmental concern influence Dutch consumers acceptance of incorporating food from food forests into their regular diet. A quantitative approach was used, involving a cross-sectional survey of Dutch consumers (N = 221) assessing variables related to cultural context, environmental concern and consumer acceptance of food from food forests. Results indicate that cultural context forms a barrier for consumer acceptance whilst higher environmental concern results in greater consumer acceptance.",How do cultural context and environmental concern influence Dutch consumers' acceptance of food from food forests?,12 - Responsible Consumption and Production,"This SDG applies as the research focuses on consumer acceptance of sustainable food sources, which is essential for promoting responsible consumption patterns.",Netherlands,National,Circular Economy & Production,"food forests, consumer acceptance, cultural context, environmental concern, sustainable diets",Quantitative Empirical Research,"Cross-sectional survey, Descriptive statistics, Reliability analysis, Linear regression, Confidence interval",,,,Netherlands,52.243498,5.634323,Country,turpijn_2023.pdf,turpijn_2023.png,Matched,Netherlands,52.243498,5.634323
Assessing Scope 3 Emissions of Airlines: Development and Application of a Calculation Tool,Josha Nijssen,2023.0,Dr. Ric Hoefnagels,Dr. Arturo Castillo Castillo,"The aviation sector faces growing pressure to decarbonize while demand for air travel continues to rise. Although most attention has focused on operational (Scope 1) emissions, a substantial share of the sector’s climate impact occurs upstream and downstream in the value chain (Scope 3 emissions). This study addresses the gap in understanding and reporting Scope 3 emissions by developing a calculation tool based on the Organizational Carbon Footprint approach. The tool was applied to two European airlines to assess its applicability and compare results with publicly reported data. Findings indicate that methodological clarity and harmonized frameworks are essential for credible Scope 3 emission results.",How can a calculation tool be developed and applied to assess Scope 3 emissions in the airline sector?,13 - Climate Action,"The study focuses on reducing emissions in the aviation sector, which is crucial for addressing climate change and achieving sustainability goals.",Europe,Regional,Energy & Climate,"Scope 3 emissions, aviation, organizational carbon footprint, sustainability reporting, emission hotspots",Mixed Methods Research,"Case study, Expert interviews, Hotspot analysis","Life Cycle Assessment, Carbon Footprint",,,Europe,54.526,15.2551,Broad,nijssen_2023.pdf,nijssen_2023.png,Matched,Europe,,
From downsizing to re-spending: analysing the relationship between motivations to live in tiny houses and re-spending behaviour,Elin Harms,2025.0,"Vivian Tunn, Iris Wanzenböck",Julian Kirchherr,"This research explores the motivations behind living in tiny houses and how these motivations influence re-spending behaviour. The aim is to understand the relationship between lifestyle choices and financial decisions in the context of sustainable living. A qualitative empirical research methodology was employed, including semi-structured interviews with tiny house residents. The findings indicate that motivations such as minimalism and environmental consciousness significantly impact re-spending habits, leading to more intentional financial choices.",What is the relationship between motivations to live in tiny houses and re-spending behaviour?,11 - Sustainable Cities and Communities,This SDG applies as the research focuses on sustainable living practices and their implications for urban development and community sustainability.,,Local,Urban & Regional Development,"tiny houses, re-spending behaviour, motivations, sustainable living",Qualitative Empirical Research,Semi-structured interviews,,,,,,,Broad,harms_2025.pdf,harms_2025.png,Matched,,,
CONSUMER PREFERENCE FOR EV BATTERY TECHNOLOGIES,Olivier Albertus Pieter Meerstadt,2025.0,Louis Knüpling,,"This thesis explores consumer preferences for electric vehicle (EV) battery technologies. The aim is to understand the factors influencing consumer choices and the implications for the EV market. A mixed methods approach was employed, combining qualitative interviews and quantitative surveys to gather data. The findings reveal that consumers prioritize battery life, charging speed, and environmental impact when selecting EV batteries, highlighting the need for manufacturers to align their products with consumer expectations.",What factors influence consumer preferences for electric vehicle battery technologies?,"9 - Industry, Innovation and Infrastructure","This research supports the development of innovative battery technologies that are crucial for the advancement of the electric vehicle industry, contributing to sustainable infrastructure.",,,Energy & Climate,,Mixed Methods Research,"Interviews, Quantitative surveys",,,,,,,Broad,meerstadt_2025.pdf,meerstadt_2025.png,Matched,,,
Parametric Design for supply chain collaboration: towards a circular built environment,Isabella Magnanti,2025.0,Laura Piscicelli,Abe Hendriks,"This thesis explores the role of parametric design in enhancing supply chain collaboration within the context of a circular built environment. The aim is to identify how parametric design can facilitate more efficient and sustainable practices in construction. A qualitative empirical research methodology was employed, including case studies and interviews with industry experts. The findings indicate that parametric design not only improves collaboration among stakeholders but also contributes to waste reduction and resource efficiency in the built environment.",How can parametric design enhance supply chain collaboration towards a circular built environment?,12 - Responsible Consumption and Production,"The research focuses on improving resource efficiency and reducing waste in the construction sector, aligning with the goals of responsible consumption and production.",,Local,Circular Economy & Production,"Parametric Design, Supply Chain Collaboration, Circular Economy, Built Environment",Qualitative Empirical Research,"Case study, Interviews",,,,,,,Broad,magnanti_2025.pdf,magnanti_2025.png,Matched,,,
European Energy Resilience in Response to the Russo-Ukrainian War,Tamara Soltys,2023.0,Iris Wanzenböck,Xiao-Shan Yap,"This study examines how energy resilience was discursively constructed in European public discourse during the energy crisis triggered by Russia’s full-scale invasion of Ukraine in 2022, and explores potential implications of these constructions for the EU’s sustainable energy transition. It incorporates insights from resilience theory into the discourse analysis of online English-language European news media, addressing a key gap in transition theory around how to assess regime destabilization. The analysis identified several distinct interpretations of energy resilience: resilience as immediate systemic adaptation with a promise of future transformation; resilience as systemic resistance that reinforces the status quo; and more technology-specific sub-narratives, focused on problematising the resilience aspects of nuclear and renewable energy systems. Among these, resilience-as-adaptation emerged as the dominant framing, largely shaped by EU-level policy actors. The findings also demonstrate that how vulnerability and risk are framed plays a critical role in legitimizing particular resilience strategies.","How was energy resilience discursively constructed in European public discourse during the energy crisis triggered by Russia’s invasion of Ukraine, and what are the implications for the EU’s sustainable energy transition?",7 - Affordable and Clean Energy,"The study addresses energy resilience in the context of a crisis, highlighting the importance of sustainable energy transitions and the implications for energy security in Europe.",European Union,Regional,Energy & Climate,"Sustainability transitions, energy crisis, resilience, discourse analysis, Sustainability, Russo-Ukrainian war, European Union, energy regime, regime resilience",Qualitative Empirical Research,Discourse analysis,Resilience Theory,,,European Union,50.0,10.0,Broad,soltys_2023.pdf,soltys_2023.png,Matched,Europe,,
