Title,Author(s),Year,Master Track,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag,Thesis_PDF,Cover_Image,Match_Status,Country,All_Latitudes,All_Longitudes
Successful joint knowledge production for sustainability,David Kuhn,2020.0,Earth Systems Governance,Dries Hegger,Heleen Mees,"This thesis explores the framework for successful joint knowledge production in sustainability, focusing on wastewater reuse projects in Germany. The aim is to develop a comprehensive understanding of the factors that contribute to successful collaboration in sustainability initiatives. A mixed methods approach is employed, combining case studies and expert workshops to gather qualitative data. The findings reveal key success factors and propose a revised success framework that can guide future sustainability projects.",What are the key factors that contribute to successful joint knowledge production for sustainability in wastewater reuse projects?,6 - Clean Water and Sanitation,"This research directly addresses the need for sustainable water management practices, particularly in the context of wastewater reuse, which is essential for achieving clean water and sanitation.",Germany,Local,Governance & Policy,,Mixed Methods Research,"Case study, Expert workshop",,,,Germany,51.163818,10.447831,Country,Abstract too short,kuhn_2020.pdf,kuhn_2020.png,Matched,Germany,51.163818,10.447831
Following the Money Crowdfunding the Civic Engaged Urban Nature-based Solutions,Po-Cheng Huang,2020.0,Earth Systems Governance,Prof. Harriet Bulkeley,Prof. Hens Runhaar,"In recent years, nature-based solutions (NBS) have been integrated with urban planning to tackle environmental challenges. Financial barriers hinder NBS implementation, but crowdfunding (CF) can enhance private sector participation. This thesis explores how sub-national governments (SNGs) can leverage CF to finance and facilitate civic engagement in urban NBS governance. Using a policy arrangement approach, the research identifies 13 factors across four dimensions that SNGs should develop for effective civic engagement. The study includes multiple case studies from Ghent, Noord-Brabant, and Manchester to validate five CF propositions aimed at enhancing civic engagement in urban NBS.",How can sub-national governments use crowdfunding to finance and facilitate civic engagement in urban nature-based solutions?,11 - Sustainable Cities and Communities,This SDG applies as the research focuses on enhancing urban green spaces and promoting civic engagement in sustainable urban transitions.,"Ghent, Noord-Brabant, Manchester",Local,Urban & Regional Development,"Sub-national governments, Nature-based solutions, Crowdfunding, Civic engagement, Policy arrangement approach",Mixed Methods Research,Multiple case study,Policy Arrangement Approach,,"Crowdfunding.gent, Crowdfunding VoorNatuur, Spacehive",Ghent,51.053829,3.725012,City,Abstract too short,huang_2020.pdf,huang_2020.png,Matched,Belgium; Netherlands; United Kingdom,51.053829|51.601772|53.479489,3.725012|5.444139|-2.245115
Southern African conservation projects and their impacts on local people’s drought adaptation strategies,Dániel Németh,2020.0,International Development,Dr. Kei Otsuki,Dr. Murtah Shannon,"This thesis explores the impacts of Southern African conservation projects on local people's drought adaptation strategies. The aim is to understand how these projects influence the livelihoods and resilience of communities facing drought. A meta-synthesis methodology is employed, analyzing existing literature to identify key themes and findings. The results indicate that while conservation projects can provide positive impacts such as enhanced natural and social capital, they may also lead to negative consequences, including the marginalization of local communities. This research contributes to the understanding of the complex relationship between conservation efforts and community adaptation strategies.",How do Southern African conservation projects impact local people’s drought adaptation strategies?,13 - Climate Action,"This SDG is relevant as the thesis addresses the adaptation strategies of local communities in response to drought, which is exacerbated by climate change.",Southern Africa,Regional,Ecology & Biodiversity,"conservation, drought adaptation, Southern Africa, community impacts, meta-synthesis","Literature-Based Research, Qualitative Empirical Research","Meta-synthesis, Literature review, Data-analysis, GIS Mapping",,,,,,,Broad,Abstract too short,nemeth_2020.pdf,nemeth_2020.png,Matched,Africa,,
Pricing carbon: A study on the most effective carbon tax design for the Netherlands,Annemiek de Winter,2020.0,Earth Systems Governance,Walter Vermeulen,Giuseppe Feola,"Carbon pricing is seen as a relatively effective policy instrument to reduce greenhouse gas emissions. The Dutch government announced the introduction of a carbon tax for the industry sector. This research focuses on the level of consideration in the Dutch societal and political debate of important factors that determine the effectiveness of a carbon tax in the Netherlands. The research consists of two phases. First, the effectiveness of eight carbon taxes implemented in the European Union is considered through a meta-analysis. Results show that carbon taxes implemented abroad are mainly effective for the energy sector, manufacturing sector and residential and commercial sector, while a carbon tax for the transport sector often does not lead to emission reduction. It is recommended to intensify the consultations about the introduction of a European carbon tax.",What are the important factors that determine the effectiveness of a carbon tax in the Netherlands?,13 - Climate Action,"The research focuses on carbon pricing as a policy instrument to reduce greenhouse gas emissions, directly addressing climate change.",Netherlands,National,Energy & Climate,"Carbon tax, carbon pricing, policy making, Climate Change, greenhouse gases","Literature-Based Research, Qualitative Empirical Research","Meta-analysis, Discourse analysis, Content analysis, Interviews","Ecological economics, Theory of Change, Public Policy Making",,,Netherlands,52.243498,5.634323,Country,,winter_2020.pdf,winter_2020.png,Matched,Netherlands,52.243498,5.634323
The potential and environmental implications of enhanced olivine weathering as negative CO2 emission technology in Europe,Rana Vinita,2023.0,Environmental Change and Ecosystems,"Aleksandra Galic, J. J. Dijkstra, Jasper Griffioen",,"Natural silicate weathering has always taken part in the geological CO2 sink that has helped stabilize atmospheric CO2 concentrations. Since this reaction is naturally slow, enhanced silicate weathering (ESW) is proposed to accelerate this process and potentially sequester higher amount of CO2. This method falls under negative carbon emission technologies (NETs), which is necessary to slow down anthropogenic climate change. The overall potential, however, depends on the availability of suitable rocks and proximity to the spreading locations. In this thesis research, the potential and environmental implications of enhanced weathering of olivine in arable lands of Europe were studied. The research objective is to mitigate 10% of EU’s 2017 total CO2 emissions by 2050, with the mineral sourced from the biggest olivine quarry in Norway.",What are the potential and environmental implications of enhanced olivine weathering as a negative CO2 emission technology in Europe?,13 - Climate Action,This research addresses the need for negative carbon emission technologies to combat climate change by exploring enhanced olivine weathering as a method to sequester CO2.,Europe,Regional,Energy & Climate,"Olivine, enhanced weathering, CO2 sequestration, weathering rate",Mixed Methods Research,"Data collection, Calculation of CO2 sequestration",,TNO,,,,,Broad,,vinita_2023.pdf,vinita_2023.png,Matched,Europe,,
From fragmentation to polycentricity: The manifestation of the hybrid approach throughout the intergovernmental conferences on biodiversity beyond national jurisdiction,Carolina Halevy,2020.0,Earth Systems Governance,Dr. Rakhyun E. Kim,Dr. Marjanneke J. Vijge,"The current governance structure, which sets out to protect biodiversity beyond national jurisdiction, is fragmented and insufficient in achieving this goal. The ongoing intergovernmental negotiations on biodiversity beyond national jurisdiction provide a unique opportunity to overcome this issue. The three governance architectures being discussed are the global, regional/sectoral, and hybrid approaches. The hybrid approach, which is a form of polycentric governance, is arguably a promising but overlooked solution. However, the discussion seems to be stuck between those delegates favoring a global approach, and those who prefer a regional/sectoral structure. Drawing on over 400 policy documents around the negotiations on an internationally legally binding instrument, I show evidence of the hybrid approach in the language used by delegates and within the latest legal draft. This may hint towards the potential for a successful polycentric governance structure as future architecture in the high seas. The results demonstrate that the language used by a broad range of delegates could support this form of governance, even if delegates have not labeled it as such.",To what extend is a successful polycentric governance architecture manifesting within the ILBI negotiations and legal text?,14 - Life Below Water,This SDG applies as the research focuses on governance structures aimed at protecting marine biodiversity and ecosystems beyond national jurisdiction.,Global,Global/International,Governance & Policy,"BBNJ negotiations, polycentricity, modes of governance, governance architecture, hybrid approach, marine policy",Qualitative Empirical Research,"Discourse analysis, Case study",,,,,,,Broad,,halevy_2020.pdf,halevy_2020.png,Matched,Global,,
"Exploring the practices of implementing sanitation policies A case study on the role of street-level professionals in Siaya, Kisumu and Homa Bay County, Kenya",Ranna Abdulhadi,2020.0,International Development,Janwillem Liebrand,Ajay Bailey,"This thesis investigates the challenges of implementing sanitation policies in Kenya, where a significant portion of the population lacks access to basic sanitation facilities. The research aims to understand the role of street-level professionals in the implementation process. Using qualitative methods such as interviews and observations, the study reveals that these professionals navigate complex dynamics and broker various interests among stakeholders. The findings highlight the importance of understanding the practical realities of policy implementation and provide recommendations for improving sanitation services.","How do street-level professionals implement sanitation policies in practice in Siaya, Kisumu and Homa Bay County in Kenya?",6 - Clean Water and Sanitation,"The research focuses on improving access to sanitation services, which directly aligns with the goal of ensuring availability and sustainable management of water and sanitation for all.","Siaya, Kisumu and Homa Bay County, Kenya",Local,Governance & Policy,"Implementation practices, sanitation policies, street-level professionals, Kenya",Qualitative Empirical Research,"Interviews, Focus groups, observations, Content analysis",,WASTE,,Kenya,1.4419683,38.4313975,Country,Abstract too short,abdulhadi_2020.pdf,abdulhadi_2020.png,Matched,Kenya,1.4419683,38.4313975
Achieving Universal Access to Electricity and Cleaner Cooking Fuels in Sub-Saharan Africa: A Stakeholder Influence Analysis of Energy Sector Development in Rwanda,Evelien Lambooij,2020.0,International Development,Dr. Kei Otsuki,Dr. ir. Janwillem Liebrand,"This thesis investigates the energy development situation in Rwanda, focusing on the influence of individual stakeholders and partnerships in achieving the targets set by Sustainable Development Goal 7. The research aims to understand the policies developed by the Rwandan government to ensure universal access to affordable, reliable, sustainable, and modern energy. It employs a mixed methodology, including semi-structured interviews and surveys, to gather insights from stakeholders and consumers. The findings reveal the complexities of stakeholder influence and the challenges faced in the implementation of energy policies, highlighting the critical role of partnerships in addressing energy access gaps.",What is the energy development situation in Rwanda and how do individual stakeholders and partnerships influence these developments in line with the 2030 targets mentioned in SDG 7?,7 - Affordable and Clean Energy,"SDG 7 is relevant as it focuses on ensuring access to affordable, reliable, sustainable, and modern energy for all, which is crucial for Rwanda's development goals.",Rwanda,National,Energy & Climate,"Energy access, Stakeholder influence, Rwanda, Sustainable Development Goals, Clean cooking fuels","Mixed Methods Research, Qualitative Empirical Research","Semi-structured interviews, Survey","Stakeholder Theory, Multi-Stakeholder Partnerships",Resilience BV,,Rwanda,-2.000205,30.000396,Country,Abstract too short,lambooij_2020.pdf,lambooij_2020.png,Matched,Rwanda,-2.000205,30.000396
Land degradation in the Argentine Chaco,Saskia Hüsch,2020.0,,Dr. Guus van Westen,Dr.ir. Janwillem Liebrand,"The Argentine Chaco, a semiarid ecoregion with rapidly expanding agricultural frontiers, is facing two critical, interlinked challenges: first, the accelerating land degradation, which is strongly related to land-use changes and intensive agricultural production, and secondly, the simultaneous territory degradation, leading to further marginalization and impoverishment of rural communities. This research set out to contribute to this overview by following a qualitative case-study design, aimed at providing insights and evidence related to land degradation dynamics in the Argentine Chaco. The results provide a comprehensive understanding of the regional context, highlighting the threats to rural livelihoods and the sustainability of agricultural production.",,15 - Life on Land,This SDG applies as the research addresses land degradation and its impact on ecosystems and rural livelihoods in the Argentine Chaco.,Argentina,Regional,Ecology & Biodiversity,,Qualitative Empirical Research,Case study,Ecological Modernisation,,,Chaco,-26.383,-60.8816,Region,Missing Research Question,husch_2020.pdf,husch_2020.png,Matched (content),Argentina,-26.383,-60.8816
CURRENT STATE AND DECARBONISATION OPTIONS FOR THE DUTCH POLYOLEFINS INDUSTRY,Aurelio Negri,2023.0,Energy & Materials,Prof. Dr. Ernst Worrell,Dr. Tom Ligthart,"This master thesis deals with the decarbonisation options for the Dutch polyolefins industry. The main products (LDPE, LLDPE, HDPE, PP) are mostly used for packaging (60%), construction (10%), and automotive (7%). Three producers have been investigated: Dow, SABIC, and Ducor. Their aggregate production of polyolefins is 2,570 kt/y, which is 2.5 times higher than the Dutch demand. The study focuses on the decarbonisation options associated with the production of feedstock and end-of-life treatments. More economic incentives and innovation are needed to successfully decarbonise the Dutch polyolefins industry.",What are the decarbonisation options for the Dutch polyolefins industry?,12 - Responsible Consumption and Production,"The thesis addresses the environmental impact of polyolefins production and explores sustainable alternatives, aligning with the goal of responsible consumption and production.",Netherlands,National,Circular Economy & Production,"polyolefins, Decarbonisation, Sustainability, recycling, bio-based feedstock","Literature-Based Research, Qualitative Empirical Research","Market analysis, Techno-economic analysis",,TNO,"Dow, SABIC, Ducor",Netherlands,52.243498,5.634323,Country,Abstract too short,negri_2023.pdf,negri_2023.png,Matched,Netherlands,52.243498,5.634323
